time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
733126,39.7784905,38.60380185,38.73490027,27.4838468
733127,33.67028748,34.84408652,34.76449106,11.85036052
733128,31.4108999,31.39807098,31.57599026,7.968910947
733129,24.88332241,24.48262946,24.07528795,13.24562225
733130,10.0184006,10.2818616,11.32128476,4.953647345
733131,10.99793988,9.556138215,9.284577208,5.969660081
733132,9.578799513,7.903361738,8.085963105,3.249367918
733133,6.504682086,5.000468209,4.714860942,4.658675906
733134,3.246043637,1.732371945,1.727689859,1.301620002
733135,3.164153947,1.708961513,1.708961513,0
733136,3.173845866,1.708961513,1.708961513,0
733137,5.960810937,3.394512595,3.394512595,1.938383744
733138,5.843431033,3.403876767,3.375784249,0.107687986
733139,5.785092237,3.225957487,3.18381871,0.669538346
733140,7.937540968,5.93220339,5.54827231,4.714860942
733141,6.548646877,3.923588351,4.096825545,3.839310797
733142,5.024534132,3.783125761,3.726940725,3.534975185
733143,5.355370353,3.979773387,3.979773387,0.52439367
733144,5.539938196,4.087461373,4.087461373,0.24346849
733145,20.31337204,19.81927147,19.81927147,16.64949902
733146,20.30798764,19.81458938,19.81458938,0
733147,20.30798764,19.81458938,19.81458938,0
733148,30.75699972,31.23419796,31.23419796,15.83949808
733149,46.9284109,48.05693417,47.89306115,47.67300309
733150,22.57669257,23.10609608,23.10609608,23.02181852
733151,22.57669257,23.10609608,23.10609608,6.391047851
733152,19.03155726,18.43337391,18.43337391,6.915441521
733153,17.36726285,16.73377657,16.80868995,2.902893529
733154,16.4813653,15.00608671,14.89839873,4.752317633
733155,10.5056185,7.870587134,8.409027062,6.920123607
733156,10.51957112,9.453132316,8.460530012,7.833130443
733157,9.120844648,7.35087555,8.020413896,6.503417923
733158,11.52275494,11.02631333,11.01226707,10.95608203
733159,11.63765334,11.12463714,11.00290289,5.632549864
733160,17.69646034,17.69828636,17.20666729,14.60342729
733161,8.305974342,8.563535912,7.992321378,5.440584324
733162,3.842260511,3.474108063,3.965727128,3.441333458
733163,3.626931361,3.446015545,3.436651372,3.160408278
733164,3.788041951,3.534975185,3.530293099,3.104223242
733165,24.26664482,24.66991291,23.97696414,23.87395824
733166,6.469145051,6.573649218,6.5455567,6.5455567
733167,2.038814496,2.214626838,2.692199644,2.692199644
